တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ထား၀ယ္ျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဇီဇ၀ါေမႊး,14.123739,98.175781,09 8752211,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ေမာင္းမကန္ျမို့,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,စူပါ,14.173206,98.103867,09 782462554,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ပုေလာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အလင္းေရာင္,12.974337,98.647189,,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ကလိန္ေအာင္ျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မိဘေမတၱာ,14.623811,98.137898,09 788374373,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စုမြန္,17.334425,96.493107,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေဇာ္,17.3360548,96.4890237,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေ၀ယံ,17.3341598,96.4817398,09260632525,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မစ္ရွင္,17.3366186,96.4895647,0973333439,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အိုေက,17.3332787,96.4932783,09790150354,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေရြွလိပ္ျပာ,17.335357,96.489248,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေနလ,17.334421,96.493107,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ကြန္နက္,17.332707,96.489442,09777732910,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ပဲခူးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဂရင္းလဲန္ဒ္,17.345155,96.49721,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,ကိုမိုး,18.937764,96.434376,09253211782,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ရိုလဲ့က္စ္-ဗဟို,18.940396,96.440103,05424136,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အလင္းပြင့္,18.943392,96.427824,09777054684,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္ရတနာ,18.940108,96.440063,05425128,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ညြန္႔,18.940945,96.440198,05425167,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အကန့္အသတ္မဲ့ကုမၸဏီလိမိတက္,18.94379,96.432803,09259326866,,,,,,
